ach	Acoli
af	Afrikaans
ak	Akan
am	አማርኛ
ar	العربية
az	azərbaycan
ban	Balinese
be	беларуская
bem	Ichibemba
bg	български
bn	বাংলা
br	brezhoneg
bs	bosanski
ca	català
ceb	Cebuano
chr	ᏣᎳᎩ
ckb	کوردیی ناوەندی
co	Corsican
crs	Seychellois Creole
cs	čeština
cy	Cymraeg
da	dansk
de	Deutsch
ee	Eʋegbe
el	Ελληνικά
en	English
eo	esperanto
es	español
es-419	español (Latinoamérica)
et	eesti
eu	euskara
fa	فارسی
fi	suomi
fo	føroyskt
fr	français
fy	West-Frysk
ga	Gaeilge
gaa	Ga
gd	Gàidhlig
gl	galego
gn	Guarani
gu	ગુજરાતી
ha	Hausa
haw	ʻŌlelo Hawaiʻi
hi	हिन्दी
hr	hrvatski
ht	Haitian Creole
hu	magyar
hy	հայերեն
ia	Interlingua
id	Indonesia
ig	Igbo
is	íslenska
it	italiano
iw	עברית
ja	日本語
jw	Javanese
ka	ქართული
kg	Kongo
kk	қазақ тілі
km	ខ្មែរ
kn	ಕನ್ನಡ
ko	한국어
kri	Krio (Sierra Leone)
ky	кыргызча
la	Latin
lg	Luganda
ln	lingála
lo	ລາວ
loz	Lozi
lt	lietuvių
lua	Luba-Lulua
lv	latviešu
mfe	kreol morisien
mg	Malagasy
mi	Maori
mk	македонски
ml	മലയാളം
mn	монгол
mr	मराठी
ms	Bahasa Melayu
mt	Malti
my	မြန်မာ
ne	नेपाली
nl	Nederlands
nn	nynorsk
no	norsk
nso	Northern Sotho
ny	Nyanja
nyn	Runyankore
oc	Occitan
om	Oromoo
or	ଓଡ଼ିଆ
pa	ਪੰਜਾਬੀ
pcm	Nigerian Pidgin
pl	polski
ps	پښتو
pt-BR	português (Brasil)
pt-PT	português (Portugal)
qu	Runasimi
rm	rumantsch
rn	Ikirundi
ro	română
ru	русский
rw	Kinyarwanda
sd	Sindhi
si	සිංහල
sk	slovenčina
sl	slovenščina
sn	chiShona
so	Soomaali
sq	shqip
sr	српски
sr-Latn	srpski (latinica)
sr-ME	srpski (Crna Gora)
st	Southern Sotho
su	Sundanese
sv	svenska
sw	Kiswahili
ta	தமிழ்
te	తెలుగు
tg	Tajik
th	ไทย
ti	ትግርኛ
tk	Turkmen
tl	Filipino
tlh	Klingon
tn	Tswana
to	lea fakatonga
tr	Türkçe
tt	Tatar
tum	Tumbuka
tw	Twi
ug	ئۇيغۇرچە
uk	українська
ur	اردو
uz	o‘zbek
vi	Tiếng Việt
wo	Wolof
xh	Xhosa
yi	ייִדיש
yo	Èdè Yorùbá
zh-CN	中文 (简体)
zh-TW	中文 (繁體)
zu	isiZulu
