10-13.wikia.com	XF_10-13 Wiki	en
11eyes.wikia.com	11eyes Wiki	en
1919.wikia.com	1919 Wiki	en
24.wikia.com	Wiki 24	en
30rock.wikia.com	30 Rock Wiki	en
39clues.wikia.com	The 39 Clues Wiki	en
4400.wikia.com	The 4400 Wiki	en
5an.wikia.com	5AN	de
6teen.wikia.com	6teen Wiki	en
8bittheater.wikia.com	Sardapedia	en
90210.wikia.com	90210 Wiki	en
9dragons.wikia.com	9dragons Wiki	en
Cityofheroes.wikia.com	City of Heroes Wiki	en
Dcanimated.wikia.com	DC Animated Universe	en
Diablo.wikia.com	Diablo Wiki	en
Dinocrisis.wikia.com	Dino Crisis Wiki	en
Disney.wikia.com	Disney Wiki	en
Dune.wikia.com	Dune	en
Finance.wikia.com	Finance	en
Gargoyles.wikia.com	Grimorum	en
Hamumu.wikia.com	Hamumu Wiki	en
LegacyOfKain.wikia.com	Legacy of Kain Wiki	en
LittleBigPlanet.wikia.com	LittleBigPlanet Wiki	en
Mightyboosh.wikia.com	The Mighty Boosh Wiki	en
MusicBlog.wikia.com	MusicBlogWiki	en
Pvx.wikia.com	PvXwiki	en
Ricorodriguez.wikia.com	Jama Rico	en
Talesofpirates.wikia.com	Tales Of Pirates Wiki	en
ThoriumBrotherhood.wikia.com	Thorium Brotherhood Wiki	en
abc-daytime.wikia.com	ABC Daytime Wiki	en
abklebensmittel.wikia.com	ABKLebensmittel	de
absurdopedia.wikia.com	Абсурдопедия	ru
academicjobs.wikia.com	Academic Jobs Wiki	en
acecombat.wikia.com	Acepedia	en
achievement.wikia.com	Achievement Wiki	en
achievements.wikia.com	Cheevo Archive Wiki	en
achopz.wikia.com	Zenkora Wiki	en
addamsfamily.wikia.com	Addams Family Wiki	en
address.answers.wikia.com	Wikianswers Addresses	en
admintools.wikia.com	Admin Tools Wiki	en
advancing-evolution.wikia.com	Advancing Evolution Wiki	en
adventurequestworlds.wikia.com	AdventureQuest Worlds Wiki	en
aforathlete.wikia.com	A for Athlete	en
agarest.wikia.com	Agarest Wiki	en
agt.wikia.com	America's Got Talent Wiki	en
ahw.wikia.com	AHW Wiki	en
ajayproductions.wikia.com	Ajay Productions Wiki	en
alarmfuercobra11.wikia.com	Alarm für Cobra 11 Wiki	de
